"Key","Result"
"TotalNumberOfAccidentsWithOnly1Vehicle",17
"TotalNumberOfAccidentsInvolvingABike",4
"TotalNumberOfAccidentsInvolvingACar",50
"TotalNumberOfAccidentsInvolvingAVan",5
"TotalNumberOfAccidentsInvolvingGoodsVehicles",0
"PercentageOfAccidentsInvolving1Vehicle",31.48%
"PercentageOfAccidentsInvolvingABike",7.41%
"PercentageOfAccidentsInvolvingACar",92.59%
"PercentageOfAccidentsInvolvingAVan",9.26%
"PercentageOfAccidentsInvolvingAGoodsVehicle",0.00%
"NumberOfAccidentsInJanuary",9
"NumberOfAccidentsInFebruary",6
"NumberOfAccidentsInMarch",2
"NumberOfAccidentsInApril",5
"NumberOfAccidentsInMay",5
"NumberOfAccidentsInJune",7
"NumberOfAccidentsInJuly",1
"NumberOfAccidentsInAugust",4
"NumberOfAccidentsInSeptember",2
"NumberOfAccidentsInOctober",5
"NumberOfAccidentsInNovember",5
"NumberOfAccidentsInDecember",3
