"Key","Result"
"Accidents5To6PmWeekday_PercentageChanceVsCommuterDays_Winter",1.61%
"Accidents4To6PmWeekday_PercentageChanceVsCommuterDays_Winter",3.23%
"AccidentsWeekdayAllCommuterHours_Winter",7
"AccidentsWeekdayAllCommuterHours_PercentageChanceVsCommuterDays_Winter",11.29%
"TotalAccidentsWhereConditionsAreKnown",89
"TotalAccidentsInWetDampSnowOrFrostAll",22
"AccidentsInWetDampSnowOrFrostAsPercentageOfAllAccidentsWhereConditionsKnown",24.72%
"CommuterHoursAccidentsWhereConditionsAreKnown",25
"CommuterHoursAccidentsInWetDampSnowOrFrost",8
"CommuterHoursAccidentsInWetDampSnowOrFrostAsPercentageOfAllCommuterHoursAccidents",32.00%
"MostCommonVehicle1MovementInAccidents",GoingAheadOther
"MostCommonVehicle1MovementInCommuterAccidents",GoingAheadOther
"MostCommonVehicle2MovementInAccidents",GoingAheadOther
"MostCommonVehicle2MovementInCommuterAccidents",GoingAheadOther
"MostCommonVehicle1PoIInAccidents",Front
"MostCommonVehicle1PoIInCommuterAccidents",Front
"MostCommonVehicle2PoIInAccidents",Front
"MostCommonVehicle2PoIInCommuterAccidents",Front
"MostCommonVehicle1JunctionLocInAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle1JunctionLocInCommuterAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle2JunctionLocInAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle2JunctionLocInCommuterAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle1JourneyPurposeInAccidents",NotKnown
"MostCommonVehicle1JourneyPurposeInCommuterAccidents",NotKnown
"MostCommonVehicle2JourneyPurposeInAccidents",NotKnown
"MostCommonVehicle2JourneyPurposeInCommuterAccidents",NotKnown
"TotalNumberOfCommuterHoursAccidentsWhereSeverityKnown",25
"TotalSeriousAccidentsPerYear",10
"TotalSeriousAccidentsPerYearCommuterHours",2
"PercentageOfAllAccidentsThatAreSerious",11.24%
"PercentageOfCommuterHoursAccidentsThatAreSerious",8.00%
"TotalFatalAccidentsPerYear",3
"TotalFatalAccidentsPerYearCommuterHours",1
"PercentageOfAllAccidentsThatAreFatal",3.37%
"PercentageOfCommuterHoursAccidentsThatAreFatal",4.00%
"TotalVehicle1DriverAges_Commuter",734
"TotalNumberOfVehicle1DriverAges_Commuter",21
"AverageAgeVehicle1Driver_Commuter",34.952380952380952380952380952
"TotalVehicle2DriverAges_Commuter",884
"TotalNumberOfVehicle2DriverAges_Commuter",22
"AverageAgeVehicle2Driver_Commuter",40.181818181818181818181818182
"TotalNumberOfAccidentsWithOnly1Vehicle",24
"TotalNumberOfAccidentsInvolvingABike",2
"TotalNumberOfAccidentsInvolvingACar",76
"TotalNumberOfAccidentsInvolvingAVan",10
"TotalNumberOfAccidentsInvolvingGoodsVehicles",14
"PercentageOfAccidentsInvolving1Vehicle",26.97%
"PercentageOfAccidentsInvolvingABike",2.25%
"PercentageOfAccidentsInvolvingACar",85.39%
"PercentageOfAccidentsInvolvingAVan",11.24%
"PercentageOfAccidentsInvolvingAGoodsVehicle",15.73%
"NumberOfAccidentsInJanuary",7
"NumberOfAccidentsInFebruary",5
"NumberOfAccidentsInMarch",11
"NumberOfAccidentsInApril",9
"NumberOfAccidentsInMay",7
"NumberOfAccidentsInJune",9
"NumberOfAccidentsInJuly",7
"NumberOfAccidentsInAugust",12
"NumberOfAccidentsInSeptember",4
"NumberOfAccidentsInOctober",8
"NumberOfAccidentsInNovember",5
"NumberOfAccidentsInDecember",5
